Domain,ESP Provider
saudiags.com,Other
alfanar.com,Outlook
vfsglobal.com,Other
alsalamahospital.com,Outlook
chalhoubgroup.com,Outlook
kau.edu.sa,G Suite
rcjy.gov.sa,Other
almarai.com,Other
neom.com,Outlook
zamilac.com,Other
isdb.org,Outlook
goldenchicken.com.sa,Outlook
aquatfoods.com,Outlook
tenaris.com,Error
dar-engineering.com,Outlook
bahri.sa,Other
jazeerapaints.com,Outlook
almarai.com,Other
saudiags.com,Other
zamilac.com,Other
sapac.com.sa,Error
sapac.com.sa,Other
almarai.com,Other
medgulf.com.sa,Error
maximus.sa,Outlook
lucidmotors.com,Other
el-seif.com.sa,Outlook
tvtc.gov.sa,Other
mag-sa.com,Error
imcokw.com,Error
hrsd.gov.sa,Other
acts-int.com,Outlook
sta.gov.sa,Outlook
hyatt.com,Other
hilton.com,Outlook
saudiatechnic.com,Outlook
moh.gov.sa,Other
bakerhughes.com,Outlook
nov.com,Other
wellboreintegrity.com,Outlook
expro.com,Other
neoleap.com.sa,Other
saudia.com,Other
neom.com,Outlook
ssem.com.sa,Outlook
tahakom.com,Outlook
